"X","cig_tax","female_leg","liberal","dem_gov","healthspendpc","state","year"
1155,1.49417,21.7,26.643237,0,6.363,"New York",2003
1156,0.062111,20.6,17.364279,1,4.903,"North Carolina",2003
1157,0.503858,15.6,14.64451,0,5.601,"North Dakota",2003
1158,0.624948,18.9,19.114694,0,5.422,"Ohio",2003
1159,0.299375,11.4,13.707028,1,4.739,"Oklahoma",2003
1160,0.763745,31.1,22.914118,1,4.695,"Oregon",2003
1161,1.06817,13.8,20.734128,1,5.786,"Pennsylvania",2003
1162,1.30934,19.5,27.906479,0,5.966,"Rhode Island",2003
1163,0.088252,9.4,16.389302,0,4.862,"South Carolina",2003
1164,0.375776,16.2,15.972794,0,5.229,"South Dakota",2003
1165,0.252606,17.4,16.656824,1,5.089,"Tennessee",2003
1166,0.533711,19.3,15.889829,0,4.464,"Texas",2003
1167,0.790886,22.1,12.474468,0,3.84,"Utah",2003
1168,0.946535,30.6,25.097512,0,5.682,"Vermont",2003
1169,0.029929,15.7,18.159362,1,4.562,"Virginia",2003
1170,1.56364,36.7,20.351472,1,4.878,"Washington",2003
1171,0.219821,18.7,16.79264,1,6.055,"West Virginia",2003
1172,0.856704,27.3,22.497575,1,5.408,"Wisconsin",2003
1173,0.142309,17.8,12.521549,1,5.037,"Wyoming",2003
1174,0.204092,10,11.851169,0,5.272,"Alabama",2004
1175,1.05248,20,19.048945,0,6.528,"Alaska",2004
1176,1.33238,27.8,20.851242,1,4.304,"Arizona",2004
1177,0.74289,16.3,14.723715,0,4.892,"Arkansas",2004
1178,0.858057,30,24.331646,0,4.777,"California",2004
1179,0.206905,34,25.971364,0,4.837,"Colorado",2004
1180,1.38341,29.4,22.214077,0,6.284,"Connecticut",2004
1181,0.615744,29,41.270873,1,6.611,"Delaware",2004
1182,NA,NA,17.812717,NA,8.296,"District of Columbia",2004
1183,0.409647,25,16.368777,0,5.709,"Florida",2004
1184,0.442111,21.6,14.637388,0,4.714,"Georgia",2004
1185,1.14374,27.6,24.353224,0,5.122,"Hawaii",2004
1186,0.65149,25.7,18.003711,0,4.485,"Idaho",2004
1187,1.0384,28.2,21.389399,1,5.323,"Illinois",2004
1188,0.617747,18,16.012532,1,5.401,"Indiana",2004
1189,0.403314,21.3,18.839762,1,5.445,"Iowa",2004
1190,0.882623,27.9,16.506314,1,5.42,"Kansas",2004
1191,0.037055,10.9,14.015474,0,5.392,"Kentucky",2004
1192,0.446041,16.7,14.378363,1,5.309,"Louisiana",2004
1193,1.01337,26.9,20.85294,1,6.59,"Maine",2004
1194,1.1124,34,21.765691,0,5.737,"Maryland",2004
1195,1.36436,25,27.788357,0,6.988,"Massachusetts",2004
1196,1.35537,23.6,19.159545,1,5.138,"Michigan",2004
1197,0.508469,27.4,19.937479,0,5.93,"Minnesota",2004
1198,0.228186,12.6,14.048009,0,5.11,"Mississippi",2004
1199,0.190088,21.3,16.66506,1,5.437,"Missouri",2004
1200,0.805006,24.7,19.50104,0,5.085,"Montana",2004
1201,0.706154,18.4,13.260092,0,5.602,"Nebraska",2004
1202,0.855841,28.6,21.567013,0,4.759,"Nevada",2004
1203,0.498083,27.6,21.32689,0,5.722,"New Hampshire",2004
1204,1.89195,15.8,21.823624,1,6.054,"New Jersey",2004
1205,1.04272,30.4,22.338382,1,4.843,"New Mexico",2004
1206,1.4414,22.6,23.505871,0,6.709,"New York",2004
1207,0.060007,21.2,16.044178,1,5.26,"North Carolina",2004
1208,0.491162,16.3,14.180556,0,5.956,"North Dakota",2004
1209,0.607668,21.2,17.091699,0,5.766,"Ohio",2004
1210,0.289767,12.8,12.042494,1,4.97,"Oklahoma",2004
1211,1.36149,28.9,27.199528,1,5.059,"Oregon",2004
1212,1.39638,14.2,19.338331,1,6.148,"Pennsylvania",2004
1213,1.64012,20.4,25.139307,0,6.487,"Rhode Island",2004
1214,0.085394,9.4,15.058231,0,5.197,"South Carolina",2004
1215,0.587131,16.2,15.040763,0,5.457,"South Dakota",2004
1216,0.244467,17.4,15.013463,1,5.499,"Tennessee",2004
1217,0.516533,19.3,13.1415,0,4.675,"Texas",2004
1218,0.749347,21.2,18.307427,0,4.087,"Utah",2004
1219,1.17254,31.1,25.335427,0,6.237,"Vermont",2004
1220,0.02889,14.3,17.422172,1,4.891,"Virginia",2004
1221,1.47528,35.4,23.428951,1,5.215,"Washington",2004
1222,0.689598,18.7,13.294307,1,6.37,"West Virginia",2004
1223,0.832969,28,18.206983,1,5.752,"Wisconsin",2004
